school,address1,city,state,zipcode,rank,Id,PageUrl
Princeton University,,Princeton,NJ,08544, 2                                                                ,1,http://colleges.usnews.rankingsandreviews.com/best-colleges/princeton-university-2627
Dartmouth College,6016 McNutt Hall,Hanover,NH,03755, 10                                                                ,11,http://colleges.usnews.rankingsandreviews.com/best-colleges/dartmouth-college-2573
Emory University,201 Dowman Drive,Atlanta,GA,30322, 20                                                                ,21,http://colleges.usnews.rankingsandreviews.com/best-colleges/emory-university-1564
Harvard University,"Undergraduate Admissions Office, 86 Brattle Street",Cambridge,MA,02138, 1                                                                ,2,http://colleges.usnews.rankingsandreviews.com/best-colleges/harvard-university-2155
Johns Hopkins University,3400 N. Charles Street,Baltimore,MD,21218, 11                                                                ,12,http://colleges.usnews.rankingsandreviews.com/best-colleges/jhu-2077
Georgetown University,37th and O Streets NW,Washington,DC,20057, 21                                  ,22,http://colleges.usnews.rankingsandreviews.com/best-colleges/georgetown-university-1445
Yale University,,New Haven,CT,06520, 2                                                                ,3,http://colleges.usnews.rankingsandreviews.com/best-colleges/yale-university-1426
Northwestern University,633 Clark Street,Evanston,IL,60208, 12                                                                ,13,http://colleges.usnews.rankingsandreviews.com/best-colleges/northwestern-1739
University of California--Los Angeles,405 Hilgard Avenue,Los Angeles,CA,90095, 21                                                                ,23,http://colleges.usnews.rankingsandreviews.com/best-colleges/ucla-1315
Columbia University,2960 Broadway,New York,NY,10027, 3                                                                ,4,http://colleges.usnews.rankingsandreviews.com/best-colleges/columbia-university-2707
Washington University in St. Louis,"Campus Box 1089, 1 Brookings Drive",St. Louis,MO,63130-4899, 13                                                                ,14,http://colleges.usnews.rankingsandreviews.com/best-colleges/washington-university-st-louis-2520
University of Virginia,,Charlottesville,VA,22904, 23                                  ,24,http://colleges.usnews.rankingsandreviews.com/best-colleges/uva-6968
Stanford University,,Stanford,CA,94305, 4                                  ,5,http://colleges.usnews.rankingsandreviews.com/best-colleges/stanford-1305
Cornell University,,Ithaca,NY,14853, 14                                                                ,15,http://colleges.usnews.rankingsandreviews.com/best-colleges/cornell-university-2711
Carnegie Mellon University,5000 Forbes Avenue,Pittsburgh,PA,15213, 23                                                                ,25,http://colleges.usnews.rankingsandreviews.com/best-colleges/carnegie-mellon-university-3242
University of Chicago,5801 S. Ellis Avenue,Chicago,IL,60637, 4                                  ,6,http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-chicago-1774
Brown University,Box 1920,Providence,RI,02912, 15                                                                ,16,http://colleges.usnews.rankingsandreviews.com/best-colleges/brown-university-3401
University of Southern California,University Park,Los Angeles,CA,90089, 25                                  ,26,http://colleges.usnews.rankingsandreviews.com/best-colleges/usc-1328
Massachusetts Institute of Technology,77 Massachusetts Avenue,Cambridge,MA,02139, 4                                                                ,7,http://colleges.usnews.rankingsandreviews.com/best-colleges/mit-2178
University of Notre Dame,,Notre Dame,IN,46556, 16                                  ,17,http://colleges.usnews.rankingsandreviews.com/best-colleges/notre-dame-1840
Tufts University,,Medford,MA,02155, 25                                                                ,27,http://colleges.usnews.rankingsandreviews.com/best-colleges/tufts-university-2219
Duke University,"2138 Campus Drive, Box 90586",Durham,NC,27708, 7                                                                ,8,http://colleges.usnews.rankingsandreviews.com/best-colleges/duke-university-2920
Vanderbilt University,,Nashville,TN,37240, 16                                  ,18,http://colleges.usnews.rankingsandreviews.com/best-colleges/vanderbilt-3535
Wake Forest University,"Box 7305, Reynolda Station",Winston-Salem,NC,27109, 27                                  ,28,http://colleges.usnews.rankingsandreviews.com/best-colleges/wake-forest-2978
University of Pennsylvania,"1 College Hall, Room 100",Philadelphia,PA,19104, 8                                  ,9,http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-pennsylvania-3378
Rice University,PO Box 1892,Houston,TX,77251-1892, 16                                                                ,19,http://colleges.usnews.rankingsandreviews.com/best-colleges/rice-3604
University of Michigan--Ann Arbor,500 S. State St. ,Ann Arbor,MI,48109, 27                                                                ,29,http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-michigan-9092
University of California--Berkeley,110 Sproul Hall,Berkeley,CA,94720-5800, 19                                                                ,20,http://colleges.usnews.rankingsandreviews.com/best-colleges/uc-berkeley-1312
California Institute of Technology,1200 E. California Boulevard,Pasadena,CA,91125, 8                                                                ,10,http://colleges.usnews.rankingsandreviews.com/best-colleges/cal-tech-1131
University of North Carolina--Chapel Hill,"South Building, CB #9100",Chapel Hill,NC,27599, 29                                                                ,30,http://colleges.usnews.rankingsandreviews.com/best-colleges/unc-2974
Capella University,"225 S. Sixth Street, Ninth Floor",Minneapolis,MN,55403,Unranked                                                                ,31,http://colleges.usnews.rankingsandreviews.com/best-colleges/capella-university-32673
New York University,70 Washington Square S,New York,NY,10012, 31                                                                ,41,http://colleges.usnews.rankingsandreviews.com/best-colleges/nyu-2785
Colorado Technical University,4435 N. Chestnut Street,Colorado Springs,CO,80907-3896,Unranked                                                                ,32,http://colleges.usnews.rankingsandreviews.com/best-colleges/colorado-technical-university-10148
College of William and Mary,PO Box 8795,Williamsburg,VA,23187-8795, 32                                                                ,42,http://colleges.usnews.rankingsandreviews.com/best-colleges/william-and-mary-3705
Idaho State University,921 S. Eigth Avenue,Pocatello,ID,83209,Unranked                                                                ,33,http://colleges.usnews.rankingsandreviews.com/best-colleges/idaho-state-1620
University of Rochester,Wilson Boulevard,Rochester,NY,14627, 33                                  ,43,http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-rochester-2894
Northcentral University,10000 E. University Drive,Prescott Valley,AZ,86314,Unranked                                                                ,34,http://colleges.usnews.rankingsandreviews.com/best-colleges/northcentral-university-666122
Brandeis University,415 South Street,Waltham,MA,02454-9110, 33                                                                ,44,http://colleges.usnews.rankingsandreviews.com/best-colleges/brandeis-university-2133
Trident University International,5757 Plaza Dr. Suite 100,Cypress,CA,90630,Unranked                                                                ,35,http://colleges.usnews.rankingsandreviews.com/best-colleges/trident-university-international-41279
Georgia Institute of Technology,225 North Avenue NW,Atlanta,GA,30332, 35                                  ,45,http://colleges.usnews.rankingsandreviews.com/best-colleges/georgia-tech-1569
Union Institute and University,440 E. McMillan Street,Cincinnati,OH,45206,Unranked                                                                ,36,http://colleges.usnews.rankingsandreviews.com/best-colleges/union-institute-10923
University of California--San Diego,9500 Gilman Drive,La Jolla,CA,92093, 35                                                                ,46,http://colleges.usnews.rankingsandreviews.com/best-colleges/ucsd-1317
University of Phoenix,3157 E. Elwood Street,Phoenix,AZ,85034,Unranked                                                                ,37,http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-phoenix-209885
Case Western Reserve University,10900 Euclid Avenue,Cleveland,OH,44106, 37                                                                ,47,http://colleges.usnews.rankingsandreviews.com/best-colleges/case-western-reserve-university-3024
Walden University,100 Washington Avenue South,Minneapolis,MN,55401,Unranked                                                                ,38,http://colleges.usnews.rankingsandreviews.com/best-colleges/walden-university-25042
University of California--Davis,1 Shields Avenue,Davis,CA,95616, 38                                  ,48,http://colleges.usnews.rankingsandreviews.com/best-colleges/uc-davis-1313
Wilmington University,320 Dupont Highway,New Castle,DE,19720,Unranked                                                                ,39,http://colleges.usnews.rankingsandreviews.com/best-colleges/wilmington-university-7948
Lehigh University,27 Memorial Drive W,Bethlehem,PA,18015, 38                                                                ,49,http://colleges.usnews.rankingsandreviews.com/best-colleges/lehigh-university-3289
Boston College,140 Commonwealth Avenue,Chestnut Hill,MA,02467, 30                                                                ,40,http://colleges.usnews.rankingsandreviews.com/best-colleges/boston-college-2128
University of California--Santa Barbara,,Santa Barbara,CA,93106, 40                                  ,50,http://colleges.usnews.rankingsandreviews.com/best-colleges/ucsb-1320
Boston University,1 Silber Way,Boston,MA,02215, 40                                                                ,51,http://colleges.usnews.rankingsandreviews.com/best-colleges/boston-university-2130
Yeshiva University,500 W. 185th Street,New York,NY,10033, 48                                  ,61,http://colleges.usnews.rankingsandreviews.com/best-colleges/yeshiva-university-2903
Brigham Young University--Provo,A-209 ASB,Provo,UT,84602, 58                                                                ,71,http://colleges.usnews.rankingsandreviews.com/best-colleges/byu-3670
Northeastern University,360 Huntington Avenue,Boston,MA,02115, 42                                  ,52,http://colleges.usnews.rankingsandreviews.com/best-colleges/northeastern-university-2199
University of Texas--Austin,,Austin,TX,78712-1111, 48                                                                ,62,http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-texas-3658
Clemson University,105 Sikes Hall,Clemson,SC,29634, 62                                  ,72,http://colleges.usnews.rankingsandreviews.com/best-colleges/clemson-university-3425
Rensselaer Polytechnic Institute,110 Eighth Street,Troy,NY,12180-3590, 42                                  ,53,http://colleges.usnews.rankingsandreviews.com/best-colleges/rpi-2803
George Washington University,2121 I Street NW,Washington,DC,20052, 53                                                                ,63,http://colleges.usnews.rankingsandreviews.com/best-colleges/gwu-1444
Purdue University--West Lafayette,"Schleman Hall, 475 Stadium Mall Drive",West Lafayette,IN,47907-2050, 62                                  ,73,http://colleges.usnews.rankingsandreviews.com/best-colleges/purdue-1825
University of California--Irvine,,Irvine,CA,92697, 42                                  ,54,http://colleges.usnews.rankingsandreviews.com/best-colleges/uc-irvine-1314
Ohio State University--Columbus,154 W. 12th Avenue,Columbus,OH,43210, 54                                  ,64,http://colleges.usnews.rankingsandreviews.com/best-colleges/ohio-state-6883
University of Georgia,Administration Building,Athens,GA,30602, 62                                  ,74,http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-georgia-1598
University of Illinois--Urbana-Champaign,601 E. John Street,Champaign,IL,61820-5711, 42                                  ,55,http://colleges.usnews.rankingsandreviews.com/best-colleges/uiuc-1775
Pepperdine University,24255 Pacific Coast Highway,Malibu,CA,90263, 54                                  ,65,http://colleges.usnews.rankingsandreviews.com/best-colleges/pepperdine-university-1264
University of Maryland--College Park,,College Park,MD,20742-5025, 62                                  ,75,http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-maryland-2103
University of Wisconsin--Madison,500 Lincoln Drive,Madison,WI,53706, 42                                                                ,56,http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-wisconsin-3895
Tulane University,"6823 St. Charles Avenue, 218 Gibson Hall",New Orleans,LA,70118, 54                                  ,66,http://colleges.usnews.rankingsandreviews.com/best-colleges/tulane-university-2029
University of Pittsburgh,4200 Fifth Avenue,Pittsburgh,PA,15260, 62                                  ,76,http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-pittsburgh-3379
Pennsylvania State University--University Park,201 Old Main,University Park,PA,16802, 47                                                                ,57,http://colleges.usnews.rankingsandreviews.com/best-colleges/penn-state-6965
Fordham University,113 W. 60th Street,New York,NY,10023, 54                                                                ,67,http://colleges.usnews.rankingsandreviews.com/best-colleges/fordham-university-2722
Texas A&amp;M University--College Station,,College Station,TX,77843, 62                                                                ,77,http://colleges.usnews.rankingsandreviews.com/best-colleges/texas-am-college-station-10366
University of Florida,201 Criser Hall,Gainesville,FL,32611, 48                                  ,58,http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-florida-1535
Southern Methodist University,PO Box 750181,Dallas,TX,75275-0181, 58                                  ,68,http://colleges.usnews.rankingsandreviews.com/best-colleges/smu-3613
Worcester Polytechnic Institute,100 Institute Road,Worcester,MA,01609, 68                                  ,78,http://colleges.usnews.rankingsandreviews.com/best-colleges/wpi-2233
University of Miami,PO Box 248025,Coral Gables,FL,33124, 48                                  ,59,http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-miami-1536
Syracuse University,,Syracuse,NY,13244, 58                                  ,69,http://colleges.usnews.rankingsandreviews.com/best-colleges/syracuse-university-2882
"Rutgers, The State University of New Jersey--New Brunswick","65 Davidson Road, Room 202",Piscataway,NJ,08854-8097, 68                                                                ,79,http://colleges.usnews.rankingsandreviews.com/best-colleges/rutgers-6964
University of Washington,,Seattle,WA,98195, 48                                  ,60,http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-washington-3798
University of Connecticut,"2131 Hillside Road, Unit 3088",Storrs,CT,06269-3088, 58                                  ,70,http://colleges.usnews.rankingsandreviews.com/best-colleges/uconn-29013
American University,4400 Massachusetts Avenue NW,Washington,DC,20016, 70                                                                ,80,http://colleges.usnews.rankingsandreviews.com/best-colleges/american-university-1434
Baylor University,1 Bear Place,Waco,TX,76798, 71                                  ,81,http://colleges.usnews.rankingsandreviews.com/best-colleges/baylor-university-6967
Texas Christian University,2800 S. University Drive,Fort Worth,TX,76129, 76                                  ,91,http://colleges.usnews.rankingsandreviews.com/best-colleges/tcu-3636
University of Iowa,107 Calvin Hall,Iowa City,IA,52242-1396, 71                                  ,82,http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-iowa-1892
University of Delaware,,Newark,DE,19716, 76                                  ,92,http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-delaware-1431
University of Minnesota--Twin Cities,100 Church Street SE,Minneapolis,MN,55455-0213, 71                                  ,83,http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-minnesota-3969
University of Massachusetts--Amherst,"University Admissions Center, 37 Mather Drive",Amherst,MA,01003-9313, 76                                  ,93,http://colleges.usnews.rankingsandreviews.com/best-colleges/umass-amherst-2221
Virginia Tech,,Blacksburg,VA,24061, 71                                  ,84,http://colleges.usnews.rankingsandreviews.com/best-colleges/virginia-tech-3754
Michigan State University,,East Lansing,MI,48824, 76                                                                ,94,http://colleges.usnews.rankingsandreviews.com/best-colleges/michigan-state-2290
Clark University,950 Main Street,Worcester,MA,01610-1477, 71                                                                ,85,http://colleges.usnews.rankingsandreviews.com/best-colleges/clark-university-massachusetts-2139
University of California--Santa Cruz,1156 High Street,Santa Cruz,CA,95064, 85                                  ,95,http://colleges.usnews.rankingsandreviews.com/best-colleges/ucsc-1321
Indiana University--Bloomington,107 S. Indiana Avenue,Bloomington,IN,47405-7000, 76                                  ,86,http://colleges.usnews.rankingsandreviews.com/best-colleges/indiana-university-1809
University of Vermont,194 S. Prospect Street,Burlington,VT,05405-0160, 85                                  ,96,http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-vermont-3696
Marquette University,PO Box 1881,Milwaukee,WI,53201-1881, 76                                  ,87,http://colleges.usnews.rankingsandreviews.com/best-colleges/marquette-university-3863
Binghamton University--SUNY,PO Box 6000,Binghamton,NY,13902-6000, 85                                                                ,97,http://colleges.usnews.rankingsandreviews.com/best-colleges/suny-binghamton-2836
Miami University--Oxford,501 E. High Street,Oxford,OH,45056, 76                                  ,88,http://colleges.usnews.rankingsandreviews.com/best-colleges/miami-university-7104
Colorado School of Mines,1500 Illinois Street,Golden,CO,80401, 88                                  ,98,http://colleges.usnews.rankingsandreviews.com/best-colleges/colorado-school-of-mines-1348
Stevens Institute of Technology,Castle Point on Hudson,Hoboken,NJ,07030, 76                                  ,89,http://colleges.usnews.rankingsandreviews.com/best-colleges/stevens-institute-of-technology-2639
Stony Brook University--SUNY,Administration Building,Stony Brook,NY,11794, 88                                  ,99,http://colleges.usnews.rankingsandreviews.com/best-colleges/stony-brook--suny-2838
